frame,timestamp,sharpness
frame_000006.webp,0.2,3483.3413
frame_000016.webp,0.533,3477.6892
frame_000005.webp,0.167,3473.8657
frame_000007.webp,0.233,3464.8156
frame_000008.webp,0.267,3464.8156
frame_000026.webp,0.867,3464.7733
frame_000004.webp,0.133,3464.4917
frame_000015.webp,0.5,3462.7897
frame_000009.webp,0.3,3458.9743
frame_000014.webp,0.467,3455.1156
frame_000017.webp,0.567,3454.5160
frame_000018.webp,0.6,3454.5160
frame_000010.webp,0.333,3450.5423
frame_000002.webp,0.067,3450.3440
frame_000003.webp,0.1,3450.3440
frame_000025.webp,0.833,3450.3272
frame_000036.webp,1.2,3450.1961
frame_000011.webp,0.367,3449.8858
frame_000019.webp,0.633,3448.6576
frame_000024.webp,0.8,3447.2407
frame_000012.webp,0.4,3446.4484
frame_000013.webp,0.433,3446.4484
frame_000021.webp,0.7,3445.3905
frame_000001.webp,0.033,3444.0101
frame_000046.webp,1.533,3441.1356
frame_000027.webp,0.9,3440.6010
frame_000028.webp,0.933,3440.6010
frame_000020.webp,0.667,3440.0288
frame_000236.webp,7.867,3436.0006
frame_000029.webp,0.967,3434.5935
frame_000034.webp,1.133,3434.5051
frame_000226.webp,7.533,3432.4481
frame_000031.webp,1.033,3432.1920
frame_000022.webp,0.733,3431.5635
frame_000023.webp,0.767,3431.5635
frame_000216.webp,7.2,3425.2094
frame_000032.webp,1.067,3424.6366
frame_000033.webp,1.1,3424.6366
frame_000035.webp,1.167,3422.2619
frame_000231.webp,7.7,3421.3891
frame_000030.webp,1,3420.9825
frame_000041.webp,1.367,3420.8542
frame_000045.webp,1.5,3420.7522
frame_000235.webp,7.833,3420.3143
frame_000237.webp,7.9,3420.0082
frame_000238.webp,7.933,3420.0082
frame_000234.webp,7.8,3419.0867
frame_000240.webp,8,3418.7104
frame_000039.webp,1.3,3418.0374
frame_000044.webp,1.467,3415.9009
frame_000225.webp,7.5,3415.6277
frame_000056.webp,1.867,3415.3967
frame_000239.webp,7.967,3415.0317
frame_000206.webp,6.867,3414.9817
frame_000037.webp,1.233,3414.8297
frame_000038.webp,1.267,3414.8297
frame_000229.webp,7.633,3413.5115
frame_000227.webp,7.567,3411.7893
frame_000228.webp,7.6,3411.7893
frame_000047.webp,1.567,3411.7877
frame_000048.webp,1.6,3411.7877
frame_000215.webp,7.167,3409.8144
frame_000232.webp,7.733,3409.5759
frame_000233.webp,7.767,3409.5759
frame_000224.webp,7.467,3408.4309
frame_000230.webp,7.667,3408.3256
frame_000042.webp,1.4,3407.0831
frame_000043.webp,1.433,3407.0831
frame_000217.webp,7.233,3406.9153
frame_000218.webp,7.267,3406.9153
frame_000049.webp,1.633,3406.2340
frame_000221.webp,7.367,3405.7782
frame_000219.webp,7.3,3405.3932
frame_000040.webp,1.333,3405.2396
frame_000214.webp,7.133,3403.9522
frame_000222.webp,7.4,3403.1153
frame_000223.webp,7.433,3403.1153
frame_000205.webp,6.833,3400.1263
frame_000051.webp,1.7,3399.4054
frame_000050.webp,1.667,3398.6654
frame_000055.webp,1.833,3398.1457
frame_000212.webp,7.067,3397.7249
frame_000213.webp,7.1,3397.7249
frame_000066.webp,2.2,3395.9018
frame_000220.webp,7.333,3395.8009
frame_000211.webp,7.033,3395.6695
frame_000196.webp,6.533,3394.8536
frame_000054.webp,1.8,3394.8152
frame_000207.webp,6.9,3393.2877
frame_000208.webp,6.933,3393.2877
frame_000209.webp,6.967,3390.9169
frame_000204.webp,6.8,3389.8557
frame_000057.webp,1.9,3388.5672
frame_000058.webp,1.933,3388.5672
frame_000210.webp,7,3386.1166
frame_000201.webp,6.7,3384.1534
frame_000052.webp,1.733,3383.5873
frame_000053.webp,1.767,3383.5873
frame_000059.webp,1.967,3382.3926
frame_000202.webp,6.733,3380.4442
frame_000203.webp,6.767,3380.4442
frame_000195.webp,6.5,3379.1606
frame_000197.webp,6.567,3375.6766
frame_000198.webp,6.6,3375.6766
frame_000065.webp,2.167,3375.0001
frame_000061.webp,2.033,3374.4628
frame_000186.webp,6.2,3374.2450
frame_000199.webp,6.633,3371.8939
frame_000064.webp,2.133,3371.7016
frame_000060.webp,2,3371.1087
frame_000194.webp,6.467,3370.2415
frame_000076.webp,2.533,3370.1567
frame_000200.webp,6.667,3369.2653
frame_000067.webp,2.233,3362.7333
frame_000068.webp,2.267,3362.7333
frame_000192.webp,6.4,3362.7116
frame_000193.webp,6.433,3362.7116
frame_000191.webp,6.367,3360.3935
frame_000062.webp,2.067,3359.7426
frame_000063.webp,2.1,3359.7426
frame_000069.webp,2.3,3357.3953
frame_000185.webp,6.167,3355.8139
frame_000176.webp,5.867,3353.2038
frame_000187.webp,6.233,3352.9283
frame_000188.webp,6.267,3352.9283
frame_000086.webp,2.867,3352.5227
frame_000156.webp,5.2,3351.9222
frame_000184.webp,6.133,3351.7703
frame_000189.webp,6.3,3351.7512
frame_000075.webp,2.5,3349.9464
frame_000190.webp,6.333,3346.0862
frame_000070.webp,2.333,3346.0053
frame_000074.webp,2.467,3345.9310
frame_000071.webp,2.367,3344.5407
frame_000077.webp,2.567,3342.4067
frame_000078.webp,2.6,3342.4067
frame_000096.webp,3.2,3341.8938
frame_000079.webp,2.633,3336.5519
frame_000182.webp,6.067,3336.2315
frame_000183.webp,6.1,3336.2315
frame_000181.webp,6.033,3335.2549
frame_000072.webp,2.4,3334.9212
frame_000073.webp,2.433,3334.9212
frame_000166.webp,5.533,3332.6986
frame_000116.webp,3.867,3331.0927
frame_000177.webp,5.9,3330.9999
frame_000178.webp,5.933,3330.9999
frame_000179.webp,5.967,3328.2360
frame_000175.webp,5.833,3327.8978
frame_000155.webp,5.167,3326.2294
frame_000084.webp,2.8,3324.8003
frame_000154.webp,5.133,3324.4805
frame_000157.webp,5.233,3324.0135
frame_000158.webp,5.267,3324.0135
frame_000080.webp,2.667,3322.6981
frame_000081.webp,2.7,3320.2398
frame_000106.webp,3.533,3319.8764
